BSBG05D,BSBG04,BSBG13E,BSBG13D,BSBG14A,BSBM16A,BSBM17D,BSBM18C,BSBM20E,BSBM20I,mean_PV
Yes,Enough to fill one shelf (11–25 books),Agree a little,Agree a little,Once or twice a month,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,332.34034800000006
No,None or very few (0–10 books),Agree a little,Agree a little,A few times a year,Agree a little,Agree a lot,Some lessons,Agree a little,Agree a lot,423.643368
No,None or very few (0–10 books),Agree a lot,Agree a little,At least once a week,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,353.536308
No,None or very few (0–10 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a lot,Some lessons,Disagree a lot,Agree a lot,349.944228
Yes,None or very few (0–10 books),Disagree a lot,Disagree a little,Once or twice a month,Agree a little,Agree a little,About half the lessons,Agree a little,Agree a lot,358.36269400000003
No,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Some lessons,Agree a little,Agree a lot,383.53503599999993
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,386.89087
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Every or almost every lesson,Agree a little,Agree a lot,268.505352
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,372.658642
Yes,None or very few (0–10 books),Agree a little,Agree a lot,Never,Agree a little,Agree a little,Every or almost every lesson,Disagree a little,Agree a little,318.734916
No,None or very few (0–10 books),Agree a lot,Disagree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,325.204746
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,411.277754
No,None or very few (0–10 books),Agree a lot,Disagree a lot,Never,Agree a little,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,315.9354420000001
No,None or very few (0–10 books),Agree a lot,Agree a little,A few times a year,Agree a little,Agree a lot,Some lessons,Agree a little,Agree a little,394.32404
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,353.117962
No,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,About half the lessons,Agree a little,Agree a lot,392.081892
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Once or twice a month,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,336.82218
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,430.793098
No,Enough to fill one shelf (11–25 books),Agree a little,Agree a lot,Never,Agree a little,Agree a little,Every or almost every lesson,Disagree a little,Disagree a little,338.445688
Yes,Enough to fill one shelf (11–25 books),Disagree a little,Agree a little,Never,Agree a little,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,343.44541000000004
No,None or very few (0–10 books),Agree a little,Agree a lot,At least once a week,Agree a lot,Agree a lot,Some lessons,Agree a little,Agree a lot,330.774176
No,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a little,At least once a week,Agree a lot,Agree a lot,Every or almost every lesson,Agree a little,Agree a lot,363.95232
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Disagree a lot,Agree a lot,Never,Disagree a lot,Agree a lot,289.45725600000003
Yes,None or very few (0–10 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a little,Agree a lot,329.52107
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Once or twice a month,Disagree a little,Agree a lot,Some lessons,Agree a little,Agree a little,299.21031800000003
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Disagree a little,Agree a lot,365.807504
Yes,None or very few (0–10 books),Agree a lot,Agree a little,Once or twice a month,Agree a little,Agree a little,About half the lessons,Disagree a lot,Disagree a lot,319.76372
Yes,Enough to fill one bookcase (26–100 books),Agree a little,Agree a little,Never,Agree a little,Agree a lot,Every or almost every lesson,Agree a little,Agree a lot,460.622426
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,A few times a year,Disagree a little,Agree a little,About half the lessons,Agree a little,Agree a lot,339.62568
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Disagree a little,At least once a week,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,463.301118
Yes,Enough to fill one bookcase (26–100 books),Disagree a lot,Agree a little,Never,Agree a lot,Agree a little,Never,Agree a little,Agree a lot,436.227342
No,Enough to fill one bookcase (26–100 books),Agree a little,Agree a little,Never,Agree a little,Agree a lot,Every or almost every lesson,Disagree a lot,Agree a lot,389.24826
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,432.653968
Yes,Enough to fill one shelf (11–25 books),Agree a little,Agree a lot,Never,Agree a little,Agree a little,Some lessons,Agree a little,Agree a lot,305.476734
No,Enough to fill one shelf (11–25 books),Agree a little,Agree a lot,A few times a year,Agree a lot,Agree a lot,Some lessons,Agree a little,Agree a lot,385.201298
Yes,Enough to fill one bookcase (26–100 books),Disagree a lot,Agree a little,Never,Disagree a lot,Agree a little,Never,Disagree a little,Agree a little,337.594496
No,Enough to fill one shelf (11–25 books),Agree a lot,Disagree a little,A few times a year,Disagree a lot,Disagree a lot,Every or almost every lesson,Disagree a lot,Disagree a little,284.113682
No,None or very few (0–10 books),Disagree a little,Agree a lot,Never,Agree a little,Disagree a little,Never,Disagree a little,Agree a lot,287.00156
Yes,Enough to fill one shelf (11–25 books),Agree a little,Agree a little,Never,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,455.94176
No,None or very few (0–10 books),Disagree a little,Agree a lot,Never,Disagree a little,Disagree a little,Every or almost every lesson,Disagree a little,Disagree a little,307.983354
No,Enough to fill one bookcase (26–100 books),Agree a lot,Disagree a little,Never,Agree a lot,Disagree a lot,About half the lessons,Agree a lot,Agree a lot,349.84086
No,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Disagree a lot,Disagree a lot,Never,Disagree a lot,Agree a little,318.21860200000003
Yes,None or very few (0–10 books),Agree a little,Agree a lot,At least once a week,Agree a lot,Agree a little,Every or almost every lesson,Agree a lot,Agree a lot,430.257092
No,None or very few (0–10 books),Disagree a little,Agree a little,At least once a week,Disagree a little,Disagree a little,Never,Agree a little,Agree a little,338.542868
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Disagree a lot,Agree a lot,Never,Disagree a little,Agree a lot,256.768106
No,None or very few (0–10 books),Agree a lot,Disagree a lot,A few times a year,Agree a little,Agree a little,Every or almost every lesson,Agree a little,Agree a little,354.942406
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,At least once a week,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,398.76216
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Disagree a little,Agree a lot,Every or almost every lesson,Disagree a little,Agree a lot,335.813176
No,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Never,Disagree a little,Agree a little,377.43587
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Some lessons,Agree a little,Agree a lot,275.06209
No,None or very few (0–10 books),Agree a lot,Disagree a little,Never,Agree a little,Agree a lot,Some lessons,Disagree a lot,Agree a lot,322.762688
Yes,None or very few (0–10 books),Agree a little,Agree a little,Never,Agree a little,Disagree a little,About half the lessons,Agree a little,Agree a lot,370.255346
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,At least once a week,Agree a little,Agree a lot,Some lessons,Agree a lot,Agree a little,327.562292
Yes,Enough to fill two bookcases (101–200 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,401.234336
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Disagree a little,At least once a week,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,420.630688
No,None or very few (0–10 books),Agree a little,Agree a little,Never,Agree a lot,Agree a lot,Some lessons,Agree a little,Agree a lot,341.49524
No,None or very few (0–10 books),Agree a lot,Agree a lot,Once or twice a month,Agree a lot,Agree a little,Some lessons,Agree a little,Agree a lot,281.88586
No,Enough to fill one shelf (11–25 books),Agree a little,Agree a little,Never,Agree a little,Disagree a little,About half the lessons,Disagree a lot,Disagree a little,419.5700800000001
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,457.710958
No,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a little,Never,Agree a little,Agree a lot,About half the lessons,Agree a little,Agree a lot,431.861346
No,None or very few (0–10 books),Agree a lot,Agree a lot,A few times a year,Agree a little,Agree a lot,Never,Agree a little,Agree a little,412.643592
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,509.883812
No,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,467.957742
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,385.68085
No,None or very few (0–10 books),Agree a lot,Agree a little,Never,Agree a little,Agree a lot,Some lessons,Disagree a little,Agree a little,355.530534
No,None or very few (0–10 books),Agree a lot,Agree a lot,A few times a year,Agree a little,Agree a lot,Never,Agree a little,Agree a little,351.76265800000004
No,None or very few (0–10 books),Agree a lot,Disagree a lot,Never,Agree a little,Disagree a little,Some lessons,Agree a little,Agree a little,388.231062
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a little,Some lessons,Agree a little,Agree a little,311.146302
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,376.415498
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Disagree a lot,336.02189400000003
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,403.4125340000001
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Disagree a little,Agree a lot,466.153864
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,413.930662
No,None or very few (0–10 books),Agree a little,Agree a little,A few times a year,Agree a little,Agree a lot,Never,Agree a little,Agree a lot,467.681766
No,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,304.895508
Yes,None or very few (0–10 books),Agree a little,Agree a little,Never,Agree a little,Agree a little,About half the lessons,Agree a little,Agree a little,391.825832
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Never,Agree a little,Agree a lot,Never,Disagree a little,Disagree a little,334.507704
Yes,None or very few (0–10 books),Agree a little,Agree a little,Never,Agree a little,Agree a lot,Every or almost every lesson,Agree a little,Disagree a little,298.997926
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,452.671404
No,None or very few (0–10 books),Agree a little,Agree a little,Never,Agree a little,Agree a lot,Some lessons,Agree a little,Agree a lot,435.168274
Yes,None or very few (0–10 books),Agree a little,Agree a little,A few times a year,Agree a little,Agree a lot,Never,Agree a little,Agree a lot,300.435626
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Agree a little,Agree a lot,Never,Agree a little,Agree a little,324.723626
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Some lessons,Agree a little,Agree a lot,343.613262
Yes,None or very few (0–10 books),Agree a lot,Disagree a little,Once or twice a month,Agree a little,Agree a little,Never,Disagree a little,Agree a little,332.914404
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a little,About half the lessons,Agree a little,Disagree a little,316.19698800000003
No,None or very few (0–10 books),Agree a lot,Agree a lot,Once or twice a month,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,352.158078
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,389.300558
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,A few times a year,Agree a little,Agree a lot,About half the lessons,Agree a little,Agree a lot,413.515982
No,None or very few (0–10 books),Agree a little,Agree a little,Once or twice a month,Agree a little,Agree a lot,About half the lessons,Agree a little,Agree a lot,364.797944
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,337.81649600000003
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,516.673134
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,300.910758
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,A few times a year,Agree a lot,Agree a lot,About half the lessons,Agree a little,Agree a little,403.432848
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Disagree a lot,Agree a lot,Never,Agree a lot,Agree a lot,423.16411199999993
No,None or very few (0–10 books),Agree a little,Agree a little,At least once a week,Agree a lot,Agree a little,About half the lessons,Agree a lot,Agree a lot,470.88877
No,Enough to fill two bookcases (101–200 books),Agree a lot,Agree a lot,At least once a week,Disagree a little,Agree a little,Every or almost every lesson,Agree a lot,Agree a lot,302.774938
Yes,None or very few (0–10 books),Agree a little,Agree a lot,Never,Disagree a little,Agree a lot,Some lessons,Agree a little,Agree a lot,376.114262
Yes,None or very few (0–10 books),Agree a little,Agree a little,Once or twice a month,Agree a little,Agree a lot,Every or almost every lesson,Agree a little,Disagree a little,388.043502
Yes,Enough to fill one bookcase (26–100 books),Disagree a little,Agree a lot,Never,Agree a lot,Agree a lot,About half the lessons,Agree a little,Agree a lot,524.499896
Yes,Enough to fill one bookcase (26–100 books),Agree a little,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a little,Agree a lot,513.356304
Yes,None or very few (0–10 books),Agree a little,Agree a lot,A few times a year,Agree a little,Agree a little,Every or almost every lesson,Disagree a little,Agree a little,377.654544
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a little,Agree a lot,423.09701
Yes,Enough to fill one shelf (11–25 books),Agree a little,Agree a lot,Once or twice a month,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,409.017434
Yes,None or very few (0–10 books),Agree a little,Agree a lot,At least once a week,Agree a lot,Agree a little,Some lessons,Agree a little,Agree a lot,373.045472
Yes,None or very few (0–10 books),Agree a little,Disagree a little,Once or twice a month,Agree a little,Agree a little,About half the lessons,Agree a little,Agree a lot,450.9479500000001
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Disagree a little,Agree a little,Every or almost every lesson,Disagree a lot,Agree a lot,360.396002
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a little,Agree a lot,444.653958
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,448.094864
Yes,Enough to fill one bookcase (26–100 books),Agree a little,Agree a little,Never,Agree a little,Agree a lot,Never,Disagree a little,Disagree a lot,416.062292
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a little,Agree a little,365.513438
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,418.491446
Yes,Enough to fill one bookcase (26–100 books),Agree a little,Agree a lot,At least once a week,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,451.627192
Yes,None or very few (0–10 books),Agree a lot,Agree a little,At least once a week,Agree a little,Agree a lot,About half the lessons,Agree a little,Agree a lot,357.62158
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Disagree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,379.47741600000006
Yes,Enough to fill one shelf (11–25 books),Agree a little,Disagree a little,Never,Disagree a little,Agree a lot,Some lessons,Agree a lot,Agree a little,409.42246
No,Enough to fill one bookcase (26–100 books),Agree a little,Disagree a lot,Never,Agree a little,Disagree a little,Some lessons,Agree a lot,Agree a lot,398.001564
Yes,None or very few (0–10 books),Agree a lot,Agree a little,At least once a week,Agree a lot,Agree a lot,Some lessons,Disagree a little,Agree a little,372.153832
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,431.502206
Yes,Enough to fill one shelf (11–25 books),Disagree a little,Agree a little,Never,Agree a little,Agree a lot,Every or almost every lesson,Disagree a little,Agree a little,380.066194
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Some lessons,Agree a lot,Agree a little,359.817544
Yes,None or very few (0–10 books),Agree a little,Agree a little,A few times a year,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,447.756874
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Once or twice a month,Agree a little,Agree a lot,Every or almost every lesson,Agree a little,Agree a lot,366.825898
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,462.928564
Yes,None or very few (0–10 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,Some lessons,Agree a little,Agree a lot,461.364038
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a lot,Every or almost every lesson,Agree a little,Agree a lot,439.137008
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Disagree a little,Agree a lot,316.001372
Yes,Enough to fill two bookcases (101–200 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,449.050422
Yes,Enough to fill one shelf (11–25 books),Agree a little,Agree a lot,A few times a year,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a little,481.585408
Yes,None or very few (0–10 books),Agree a lot,Agree a little,Never,Agree a little,Agree a little,Every or almost every lesson,Agree a lot,Agree a lot,431.97498
No,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,437.893246
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,About half the lessons,Agree a little,Agree a lot,410.637898
Yes,None or very few (0–10 books),Agree a little,Agree a lot,Once or twice a month,Agree a little,Agree a lot,About half the lessons,Disagree a little,Agree a little,350.62706799999995
Yes,Enough to fill one bookcase (26–100 books),Agree a little,Agree a lot,At least once a week,Disagree a little,Agree a lot,Every or almost every lesson,Disagree a little,Disagree a little,342.136104
No,Enough to fill one bookcase (26–100 books),Agree a little,Agree a lot,At least once a week,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,353.31306
Yes,None or very few (0–10 books),Agree a little,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,337.37967
Yes,None or very few (0–10 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,351.20556600000003
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,290.760504
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,434.353334
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a little,Agree a little,362.1217680000001
Yes,Enough to fill three or more bookcases (more than 200),Agree a little,Agree a little,At least once a week,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,371.93220400000007
Yes,None or very few (0–10 books),Agree a little,Agree a lot,A few times a year,Agree a little,Agree a lot,Every or almost every lesson,Agree a little,Agree a lot,378.192444
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,480.956308
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Never,Agree a lot,Disagree a little,343.85963
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,406.060696
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,380.913046
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,326.36421800000005
Yes,Enough to fill one bookcase (26–100 books),Disagree a little,Agree a lot,At least once a week,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a little,385.404978
Yes,Enough to fill one bookcase (26–100 books),Disagree a little,Agree a lot,At least once a week,Agree a little,Agree a lot,Every or almost every lesson,Disagree a little,Agree a lot,386.418598
Yes,None or very few (0–10 books),Disagree a lot,Disagree a little,At least once a week,Agree a lot,Agree a lot,Every or almost every lesson,Agree a little,Agree a lot,371.047152
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,416.793974
No,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,378.441898
Yes,None or very few (0–10 books),Agree a little,Agree a lot,At least once a week,Agree a little,Agree a lot,Some lessons,Agree a lot,Agree a little,385.84548400000006
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Disagree a little,Agree a little,Every or almost every lesson,Disagree a little,Agree a lot,453.901228
No,None or very few (0–10 books),Agree a lot,Agree a lot,A few times a year,Agree a little,Agree a lot,Some lessons,Agree a little,Agree a lot,383.992964
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Disagree a little,Agree a lot,358.70564200000007
No,None or very few (0–10 books),Agree a lot,Disagree a little,Once or twice a month,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,411.936498
Yes,Enough to fill two bookcases (101–200 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,440.746948
No,Enough to fill one shelf (11–25 books),Agree a little,Agree a little,Never,Agree a little,Agree a lot,About half the lessons,Agree a little,Agree a lot,325.44889200000006
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,351.335998
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a lot,About half the lessons,Agree a little,Agree a lot,416.409866
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Once or twice a month,Agree a lot,Agree a lot,Some lessons,Agree a lot,Disagree a lot,382.901564
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,531.413976
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,390.864152
Yes,Enough to fill one shelf (11–25 books),Disagree a lot,Disagree a little,A few times a year,Agree a little,Agree a lot,About half the lessons,Agree a little,Agree a lot,333.53398400000003
No,None or very few (0–10 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a lot,Every or almost every lesson,Agree a little,Agree a little,351.33702
Yes,Enough to fill one bookcase (26–100 books),Disagree a lot,Disagree a lot,Never,Agree a lot,Agree a little,About half the lessons,Agree a little,Agree a lot,399.43793
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Disagree a lot,A few times a year,Disagree a lot,Agree a little,Every or almost every lesson,Disagree a lot,Agree a lot,302.83482
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Once or twice a month,Disagree a little,Agree a lot,Never,Disagree a lot,Agree a lot,289.46341
Yes,None or very few (0–10 books),Agree a little,Agree a little,A few times a year,Agree a little,Disagree a little,Every or almost every lesson,Disagree a little,Disagree a little,362.286726
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,At least once a week,Agree a little,Agree a little,About half the lessons,Disagree a lot,Agree a little,314.73002
Yes,Enough to fill two bookcases (101–200 books),Agree a lot,Agree a lot,A few times a year,Agree a little,Agree a little,About half the lessons,Disagree a little,Agree a little,374.442948
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Never,Disagree a little,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,463.767726
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a little,Never,Agree a little,Agree a lot,413.52715
No,Enough to fill one bookcase (26–100 books),Agree a little,Agree a lot,A few times a year,Agree a lot,Agree a little,Every or almost every lesson,Agree a lot,Agree a lot,499.901556
Yes,None or very few (0–10 books),Agree a little,Agree a lot,Never,Agree a lot,Agree a lot,About half the lessons,Agree a little,Disagree a lot,425.475922
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Never,Agree a little,Agree a lot,357.515654
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,459.076014
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Every or almost every lesson,Disagree a little,Disagree a little,353.50457800000004
No,Enough to fill one shelf (11–25 books),Agree a little,Disagree a little,Never,Agree a little,Agree a little,About half the lessons,Agree a little,Agree a little,364.466988
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,532.993056
Yes,Enough to fill one shelf (11–25 books),Disagree a lot,Disagree a lot,Never,Disagree a lot,Disagree a lot,About half the lessons,Disagree a lot,Disagree a lot,453.476262
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,A few times a year,Disagree a little,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,443.76994
Yes,None or very few (0–10 books),Agree a little,Agree a lot,Once or twice a month,Agree a lot,Disagree a lot,Never,Agree a lot,Agree a lot,348.59581999999995
No,None or very few (0–10 books),Agree a lot,Agree a little,Never,Agree a little,Agree a lot,Every or almost every lesson,Disagree a little,Agree a little,361.076914
Yes,None or very few (0–10 books),Agree a little,Agree a lot,Never,Agree a little,Agree a lot,Every or almost every lesson,Agree a little,Disagree a lot,329.839666
Yes,None or very few (0–10 books),Agree a little,Agree a lot,At least once a week,Agree a lot,Agree a little,About half the lessons,Disagree a little,Agree a lot,282.74390000000005
