BSBG05D,BSBG04,BSBG13E,BSBG13D,BSBG14A,BSBM16A,BSBM17D,BSBM18C,BSBM20E,BSBM20I,mean_PV
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Never,Agree a lot,Agree a lot,330.102488
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a little,Agree a little,500.949852
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Some lessons,Disagree a lot,Agree a little,395.64654600000006
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a little,Agree a little,393.594982
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Never,Disagree a little,Disagree a little,325.705198
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Once or twice a month,Agree a lot,Agree a lot,Never,Agree a little,Agree a little,377.805012
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Once or twice a month,Agree a little,Agree a lot,Never,Agree a lot,Agree a lot,352.479244
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Agree a little,Agree a lot,About half the lessons,Disagree a lot,Agree a lot,341.485804
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Disagree a little,Agree a lot,Never,Agree a lot,Agree a little,312.91348
Yes,None or very few (0–10 books),Disagree a little,Disagree a lot,At least once a week,Disagree a lot,Agree a lot,Never,Disagree a lot,Disagree a lot,328.973428
No,None or very few (0–10 books),Agree a lot,Disagree a little,Once or twice a month,Agree a little,Agree a lot,Never,Disagree a lot,Agree a lot,386.360432
No,None or very few (0–10 books),Agree a lot,Agree a lot,Once or twice a month,Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,421.8033180000001
Yes,None or very few (0–10 books),Disagree a lot,Disagree a little,A few times a year,Disagree a lot,Agree a lot,Every or almost every lesson,Disagree a lot,Disagree a little,356.24032
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,487.305934
Yes,None or very few (0–10 books),Disagree a lot,Agree a little,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a little,403.502092
No,None or very few (0–10 books),Agree a lot,Agree a lot,A few times a year,Agree a little,Agree a lot,Never,Agree a lot,Agree a lot,431.091368
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,At least once a week,Disagree a little,Agree a lot,About half the lessons,Disagree a little,Agree a little,309.999908
Yes,None or very few (0–10 books),Disagree a lot,Agree a lot,Once or twice a month,Agree a lot,Agree a lot,Some lessons,Disagree a lot,Agree a lot,355.31362400000006
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,About half the lessons,Disagree a little,Disagree a little,336.58548
Yes,None or very few (0–10 books),Agree a little,Disagree a little,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,402.23357
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Once or twice a month,Agree a little,Agree a lot,Never,Disagree a little,Agree a lot,445.583456
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Once or twice a month,Agree a little,Agree a lot,About half the lessons,Disagree a lot,Agree a lot,450.0089200000001
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,390.67066
No,None or very few (0–10 books),Agree a little,Agree a little,At least once a week,Agree a lot,Agree a little,Every or almost every lesson,Agree a lot,Disagree a little,303.300942
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Never,Agree a little,Agree a lot,Never,Agree a lot,Agree a lot,367.746154
No,None or very few (0–10 books),Agree a lot,Disagree a lot,Once or twice a month,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a little,356.285056
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,397.141418
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,308.987388
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Once or twice a month,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,423.9542
No,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,496.230352
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,386.519804
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a little,Agree a little,392.367426
No,None or very few (0–10 books),Agree a little,Disagree a lot,At least once a week,Disagree a lot,Agree a lot,About half the lessons,Disagree a little,Agree a lot,292.126866
