BSBG05D,BSBG04,BSBG13E,BSBG13D,BSBG14A,BSBM16A,BSBM17D,BSBM18C,BSBM20E,BSBM20I,mean_PV,score_category
No,None or very few (0–10 books),Agree a little,Agree a little,At least once a week,Agree a lot,Agree a little,Every or almost every lesson,Agree a lot,Disagree a little,303.300942,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Never,Agree a little,Agree a lot,Never,Agree a lot,Agree a lot,367.746154,1
No,None or very few (0–10 books),Agree a lot,Disagree a lot,Once or twice a month,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a little,356.285056,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,397.141418,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,308.987388,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Once or twice a month,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,423.9542,2
No,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,496.230352,3
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,386.519804,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a little,Agree a little,392.367426,1
No,None or very few (0–10 books),Agree a little,Disagree a lot,At least once a week,Disagree a lot,Agree a lot,About half the lessons,Disagree a little,Agree a lot,292.126866,1
Yes,None or very few (0–10 books),Agree a little,Disagree a lot,A few times a year,Agree a lot,Disagree a lot,Every or almost every lesson,Agree a little,Agree a little,372.17079600000005,1
Yes,None or very few (0–10 books),Agree a lot,Disagree a lot,A few times a year,Agree a little,Agree a little,Some lessons,Agree a lot,Agree a lot,346.791706,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Once or twice a month,Agree a little,Agree a lot,About half the lessons,Agree a lot,Agree a lot,398.741854,1
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,360.955116,1
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,441.95265200000006,2
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,377.41913000000005,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,384.554816,1
Yes,None or very few (0–10 books),Agree a little,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a little,Agree a lot,374.97674400000005,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,468.7860480000001,2
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,314.614216,1
Yes,None or very few (0–10 books),Agree a little,Agree a little,Never,Disagree a little,Agree a little,About half the lessons,Disagree a little,Agree a little,375.068226,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a little,Every or almost every lesson,Agree a lot,Agree a little,371.938816,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Disagree a lot,Agree a lot,381.251974,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a little,Some lessons,Agree a little,Agree a lot,327.93540599999994,1
Yes,None or very few (0–10 books),Disagree a lot,Agree a little,A few times a year,Disagree a lot,Disagree a lot,Never,Disagree a lot,Agree a lot,437.784548,2
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,355.727326,1
No,None or very few (0–10 books),Agree a lot,Agree a little,Never,Agree a little,Agree a lot,About half the lessons,Agree a lot,Agree a little,335.91422,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Disagree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Disagree a little,Agree a lot,389.703498,1
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Disagree a little,Never,Agree a lot,Disagree a little,About half the lessons,Agree a little,Agree a lot,478.2863180000001,3
No,None or very few (0–10 books),Agree a little,Disagree a little,At least once a week,Agree a little,Agree a lot,About half the lessons,Agree a little,Agree a lot,412.633058,2
Yes,None or very few (0–10 books),Agree a lot,Agree a little,At least once a week,Disagree a little,Agree a lot,About half the lessons,Agree a lot,Agree a lot,381.973386,1
Yes,Enough to fill one shelf (11–25 books),Agree a little,Agree a lot,Never,Agree a little,Agree a lot,About half the lessons,Agree a lot,Agree a lot,323.352524,1
Yes,None or very few (0–10 books),Agree a little,Agree a little,A few times a year,Agree a little,Agree a little,About half the lessons,Disagree a lot,Agree a little,381.304222,1
Yes,Enough to fill one shelf (11–25 books),Agree a little,Agree a little,At least once a week,Agree a little,Agree a little,Never,Agree a little,Agree a little,352.477442,1
