BSBG05D,BSBG04,BSBG13E,BSBG13D,BSBG14A,BSBM16A,BSBM17D,BSBM18C,BSBM20E,BSBM20I,mean_PV,score_category
Yes,Enough to fill one shelf (11–25 books),Agree a little,Agree a little,A few times a year,Disagree a little,Agree a lot,Every or almost every lesson,Disagree a lot,Agree a little,318.402052,1
Yes,Enough to fill one shelf (11–25 books),Agree a little,Agree a little,A few times a year,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,384.77711,1
No,None or very few (0–10 books),Agree a little,Agree a lot,Once or twice a month,Agree a lot,Agree a lot,Never,Disagree a little,Agree a lot,245.032002,1
Yes,Enough to fill one shelf (11–25 books),Agree a little,Agree a lot,Once or twice a month,Agree a lot,Agree a lot,Never,Disagree a lot,Disagree a lot,409.912354,2
No,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,359.06386,1
No,Enough to fill one shelf (11–25 books),Agree a little,Agree a little,Once or twice a month,Agree a lot,Disagree a lot,About half the lessons,Agree a lot,Agree a little,382.83093,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Disagree a little,A few times a year,Disagree a little,Agree a lot,About half the lessons,Agree a lot,Agree a lot,336.76968,1
No,Enough to fill one shelf (11–25 books),Disagree a lot,Disagree a little,At least once a week,Agree a lot,Agree a lot,Every or almost every lesson,Disagree a little,Agree a lot,380.366892,1
No,Enough to fill one bookcase (26–100 books),Disagree a lot,Disagree a little,Once or twice a month,Agree a lot,Agree a lot,Some lessons,Disagree a little,Agree a little,336.18486599999994,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Disagree a lot,At least once a week,Agree a lot,Disagree a lot,Never,Agree a lot,Agree a lot,336.85015400000003,1
No,Enough to fill one shelf (11–25 books),Agree a little,Disagree a little,A few times a year,Agree a little,Disagree a little,Never,Agree a little,Disagree a little,388.138866,1
No,Enough to fill one shelf (11–25 books),Agree a little,Disagree a little,A few times a year,Agree a little,Disagree a little,Never,Disagree a lot,Agree a lot,402.90259,2
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a little,Agree a little,319.25651,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Disagree a little,Never,Agree a little,Agree a little,Every or almost every lesson,Agree a little,Agree a little,291.625112,1
No,None or very few (0–10 books),Agree a lot,Agree a little,Never,Agree a little,Agree a lot,About half the lessons,Agree a lot,Agree a lot,325.048094,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Never,Agree a little,Agree a lot,335.61159200000003,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,312.096806,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a little,About half the lessons,Agree a little,Agree a lot,312.701524,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Disagree a little,A few times a year,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a little,327.444082,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Never,Agree a little,Agree a lot,Never,Agree a lot,Agree a lot,332.70917000000003,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Disagree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,309.487554,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a little,350.6443760000001,1
No,Enough to fill one shelf (11–25 books),Agree a little,Agree a little,Once or twice a month,Agree a little,Agree a lot,Never,Agree a little,Agree a lot,302.108862,1
No,None or very few (0–10 books),Disagree a little,Agree a little,At least once a week,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,371.970348,1
No,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a little,At least once a week,Agree a little,Agree a lot,About half the lessons,Agree a little,Agree a little,309.576112,1
No,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a little,At least once a week,Agree a little,Agree a lot,About half the lessons,Agree a little,Agree a little,321.364478,1
Yes,Enough to fill one shelf (11–25 books),Agree a little,Agree a little,A few times a year,Disagree a little,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,370.868118,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,389.920148,1
Yes,Enough to fill one bookcase (26–100 books),Agree a little,Agree a lot,At least once a week,Agree a little,Agree a lot,Some lessons,Agree a lot,Agree a lot,321.766098,1
Yes,None or very few (0–10 books),Agree a little,Agree a lot,At least once a week,Agree a little,Agree a lot,Some lessons,Agree a lot,Agree a lot,309.21436600000004,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Disagree a lot,Agree a lot,289.146534,1
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a little,Never,Agree a little,Agree a lot,Some lessons,Agree a little,Agree a little,323.50215999999995,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Some lessons,Agree a lot,Agree a lot,325.196254,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a little,Agree a lot,264.50198,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Disagree a lot,Agree a little,Every or almost every lesson,Disagree a lot,Disagree a lot,276.265474,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,432.3516,2
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Once or twice a month,Agree a little,Disagree a little,Never,Agree a little,Agree a little,332.739722,1
Yes,None or very few (0–10 books),Disagree a little,Agree a little,Never,Agree a lot,Disagree a lot,Every or almost every lesson,Disagree a lot,Agree a lot,344.32916600000004,1
Yes,None or very few (0–10 books),Disagree a little,Disagree a little,Never,Disagree a lot,Disagree a lot,Every or almost every lesson,Disagree a lot,Disagree a little,360.867122,1
Yes,Enough to fill one shelf (11–25 books),Agree a little,Agree a little,At least once a week,Agree a little,Agree a lot,Some lessons,Agree a little,Agree a lot,423.767794,2
Yes,Enough to fill one bookcase (26–100 books),Disagree a little,Disagree a lot,Once or twice a month,Agree a lot,Disagree a lot,Every or almost every lesson,Agree a little,Agree a little,400.97631400000006,2
Yes,None or very few (0–10 books),Disagree a little,Disagree a little,Never,Disagree a lot,Disagree a lot,Every or almost every lesson,Disagree a lot,Disagree a lot,395.392236,1
Yes,Enough to fill one shelf (11–25 books),Disagree a little,Disagree a lot,A few times a year,Agree a little,Disagree a lot,About half the lessons,Disagree a little,Agree a little,313.544934,1
Yes,None or very few (0–10 books),Agree a lot,Agree a little,At least once a week,Agree a little,Agree a little,Some lessons,Agree a little,Agree a lot,332.61674600000003,1
Yes,None or very few (0–10 books),Agree a little,Disagree a lot,At least once a week,Disagree a lot,Disagree a lot,Every or almost every lesson,Disagree a lot,Agree a little,358.039626,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,384.459024,1
No,Enough to fill one shelf (11–25 books),Agree a little,Disagree a lot,Never,Agree a little,Agree a lot,Every or almost every lesson,Agree a little,Disagree a little,368.085998,1
No,None or very few (0–10 books),Agree a little,Agree a little,Once or twice a month,Agree a lot,Disagree a little,Some lessons,Agree a little,Agree a little,358.687192,1
Yes,Enough to fill one bookcase (26–100 books),Agree a little,Agree a little,Once or twice a month,Agree a lot,Disagree a little,Some lessons,Agree a lot,Agree a lot,379.118384,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,At least once a week,Agree a little,Agree a lot,Some lessons,Agree a little,Agree a lot,439.100912,2
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,A few times a year,Disagree a little,Agree a lot,Some lessons,Agree a little,Agree a little,427.55939,2
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,475.2590819999999,3
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,At least once a week,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,489.853722,3
Yes,None or very few (0–10 books),Agree a lot,Disagree a little,At least once a week,Agree a little,Agree a lot,About half the lessons,Agree a little,Agree a lot,371.484058,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,357.935182,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Never,Agree a little,Agree a little,Some lessons,Agree a lot,Agree a little,352.19932,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,About half the lessons,Agree a little,Agree a little,394.231308,1
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,351.305158,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,390.94408,1
No,None or very few (0–10 books),Agree a little,Agree a little,A few times a year,Agree a little,Agree a lot,Every or almost every lesson,Disagree a lot,Agree a lot,418.534526,2
No,None or very few (0–10 books),Agree a lot,Agree a little,Once or twice a month,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,475.72187,3
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Disagree a little,Agree a lot,398.297246,1
Yes,None or very few (0–10 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,About half the lessons,Agree a little,Agree a lot,350.571916,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a little,Every or almost every lesson,Agree a lot,Agree a lot,410.496554,2
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,379.17148800000007,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Some lessons,Agree a lot,Agree a lot,445.38939,2
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,About half the lessons,Agree a little,Agree a lot,490.875636,3
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Disagree a little,Disagree a little,372.04194,1
Yes,None or very few (0–10 books),Agree a little,Disagree a lot,Once or twice a month,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,404.749692,2
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,389.82941,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Some lessons,Agree a little,Agree a lot,334.474758,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Never,Agree a little,Agree a lot,About half the lessons,Disagree a little,Agree a lot,392.198088,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,501.626644,3
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,396.513108,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,511.170088,3
No,None or very few (0–10 books),Agree a lot,Agree a little,A few times a year,Agree a little,Agree a lot,Some lessons,Agree a lot,Agree a lot,325.179186,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a lot,About half the lessons,Agree a little,Agree a lot,428.234096,2
Yes,None or very few (0–10 books),Agree a little,Agree a little,Never,Agree a little,Agree a lot,Never,Agree a lot,Agree a lot,340.58209,1
No,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,516.291966,3
No,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,A few times a year,Agree a little,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,411.820938,2
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Never,Agree a little,Disagree a little,About half the lessons,Disagree a little,Agree a lot,390.447464,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,296.555222,1
Yes,None or very few (0–10 books),Agree a lot,Disagree a little,Never,Agree a little,Agree a lot,About half the lessons,Agree a little,Agree a lot,420.572434,2
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,332.471114,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,409.07354,2
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Disagree a little,Never,Agree a little,Disagree a lot,Every or almost every lesson,Agree a little,Agree a lot,402.18047,2
Yes,Enough to fill one shelf (11–25 books),Agree a little,Agree a lot,Never,Agree a little,Agree a lot,Every or almost every lesson,Disagree a little,Agree a lot,417.324624,2
No,None or very few (0–10 books),Agree a lot,Disagree a little,Never,Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,358.28939,1
No,None or very few (0–10 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,About half the lessons,Agree a little,Agree a lot,346.442994,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Once or twice a month,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,355.33594,1
No,None or very few (0–10 books),Agree a lot,Disagree a little,At least once a week,Agree a lot,Agree a lot,Some lessons,Agree a little,Agree a lot,329.73007,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Disagree a lot,Never,Agree a little,Agree a lot,Some lessons,Agree a lot,Agree a lot,271.54312,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Agree a little,Disagree a lot,About half the lessons,Agree a lot,Agree a little,358.03160799999995,1
No,Enough to fill one shelf (11–25 books),Disagree a little,Agree a little,Once or twice a month,Agree a little,Agree a little,Some lessons,Disagree a little,Disagree a little,429.784824,2
No,None or very few (0–10 books),Agree a little,Agree a lot,Never,Agree a little,Agree a lot,Never,Agree a lot,Agree a lot,345.957284,1
Yes,None or very few (0–10 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,431.095752,2
Yes,None or very few (0–10 books),Agree a little,Disagree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a little,Agree a lot,341.792626,1
No,None or very few (0–10 books),Agree a little,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,472.204136,2
No,None or very few (0–10 books),Agree a little,Agree a little,Never,Agree a lot,Disagree a lot,Every or almost every lesson,Agree a little,Agree a little,311.454798,1
No,None or very few (0–10 books),Disagree a little,Agree a little,Never,Disagree a little,Agree a lot,Every or almost every lesson,Agree a little,Agree a little,351.364844,1
No,Enough to fill one shelf (11–25 books),Agree a little,Agree a little,Once or twice a month,Disagree a little,Agree a lot,Some lessons,Disagree a little,Agree a little,315.384528,1
No,Enough to fill one shelf (11–25 books),Agree a little,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a little,Agree a little,385.755622,1
No,None or very few (0–10 books),Agree a little,Agree a lot,A few times a year,Agree a little,Agree a little,Some lessons,Disagree a little,Agree a little,456.716608,2
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Once or twice a month,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,499.29761,3
No,Enough to fill two bookcases (101–200 books),Agree a little,Agree a lot,Never,Disagree a lot,Agree a lot,Every or almost every lesson,Disagree a lot,Agree a little,323.789692,1
No,None or very few (0–10 books),Agree a little,Agree a little,Never,Agree a little,Agree a lot,Some lessons,Disagree a lot,Agree a lot,274.023228,1
No,Enough to fill two bookcases (101–200 books),Agree a lot,Agree a lot,A few times a year,Agree a little,Agree a lot,Some lessons,Agree a little,Agree a lot,313.37382599999995,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,309.615428,1
No,None or very few (0–10 books),Agree a little,Disagree a little,Never,Disagree a lot,Agree a lot,Every or almost every lesson,Agree a little,Agree a little,411.477126,2
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,350.314278,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,429.06429,2
Yes,None or very few (0–10 books),Agree a lot,Disagree a lot,Never,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,393.840132,1
No,None or very few (0–10 books),Disagree a little,Agree a little,A few times a year,Agree a little,Disagree a lot,About half the lessons,Agree a lot,Agree a little,325.046594,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,463.59634,2
No,Enough to fill one shelf (11–25 books),Agree a little,Agree a lot,Never,Agree a little,Agree a lot,Some lessons,Agree a little,Agree a lot,327.495332,1
Yes,Enough to fill three or more bookcases (more than 200),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,409.204898,2
Yes,Enough to fill one shelf (11–25 books),Disagree a little,Agree a lot,Once or twice a month,Agree a lot,Agree a little,Every or almost every lesson,Agree a lot,Disagree a lot,371.98365,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,About half the lessons,Agree a little,Agree a lot,473.923632,2
Yes,None or very few (0–10 books),Agree a lot,Agree a little,Never,Agree a little,Agree a lot,Every or almost every lesson,Disagree a little,Agree a little,350.520398,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,435.298726,2
No,None or very few (0–10 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a lot,About half the lessons,Agree a little,Agree a little,371.665762,1
No,None or very few (0–10 books),Disagree a lot,Agree a little,Never,Disagree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a little,354.44831000000005,1
Yes,None or very few (0–10 books),Disagree a lot,Disagree a lot,Never,Agree a little,Disagree a lot,Never,Disagree a little,Disagree a little,338.742006,1
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,408.027862,2
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a little,Agree a lot,366.463112,1
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,At least once a week,Agree a little,Agree a lot,Never,Agree a little,Agree a little,322.402324,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,294.60870400000005,1
No,Enough to fill one bookcase (26–100 books),Disagree a little,Agree a little,A few times a year,Disagree a little,Agree a lot,Some lessons,Disagree a little,Disagree a little,375.813698,1
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a little,Once or twice a month,Agree a little,Disagree a little,Never,Agree a little,Agree a lot,248.35982000000004,1
No,None or very few (0–10 books),Agree a little,Agree a little,Once or twice a month,Disagree a lot,Agree a lot,Every or almost every lesson,Agree a little,Agree a lot,304.842624,1
Yes,Enough to fill three or more bookcases (more than 200),Disagree a lot,Agree a lot,Never,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,309.26478799999995,1
Yes,None or very few (0–10 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,314.570694,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Once or twice a month,Disagree a lot,Disagree a little,Every or almost every lesson,Agree a lot,Agree a lot,374.94184000000007,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a little,About half the lessons,Agree a little,Agree a little,230.58088,1
Yes,None or very few (0–10 books),Agree a little,Agree a lot,At least once a week,Agree a lot,Disagree a lot,Every or almost every lesson,Agree a lot,Disagree a lot,286.056336,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Every or almost every lesson,Agree a little,Agree a lot,400.303604,2
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Some lessons,Agree a lot,Agree a lot,371.35772,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Never,Agree a lot,Agree a lot,303.625484,1
Yes,None or very few (0–10 books),Disagree a lot,Agree a lot,Never,Agree a lot,Disagree a little,Some lessons,Agree a little,Agree a lot,266.453252,1
Yes,None or very few (0–10 books),Disagree a little,Disagree a little,At least once a week,Disagree a little,Agree a little,Every or almost every lesson,Agree a little,Agree a little,300.589702,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,315.356222,1
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Every or almost every lesson,Agree a little,Agree a lot,258.946788,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Disagree a little,Disagree a lot,Every or almost every lesson,Agree a lot,Agree a lot,387.856058,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Disagree a little,Agree a lot,366.597948,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,317.62340400000005,1
Yes,Enough to fill one shelf (11–25 books),Agree a little,Agree a little,Never,Disagree a little,Agree a lot,Never,Disagree a lot,Agree a lot,331.659918,1
Yes,None or very few (0–10 books),Agree a lot,Agree a little,Never,Disagree a little,Agree a lot,Some lessons,Agree a little,Agree a little,333.50843,1
Yes,Enough to fill one shelf (11–25 books),Disagree a little,Agree a little,At least once a week,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,352.418212,1
Yes,Enough to fill one shelf (11–25 books),Disagree a little,Agree a little,Never,Disagree a little,Disagree a little,About half the lessons,Disagree a little,Agree a little,435.801744,2
No,None or very few (0–10 books),Disagree a little,Agree a little,Never,Agree a little,Agree a lot,Every or almost every lesson,Disagree a little,Agree a lot,377.985266,1
Yes,None or very few (0–10 books),Agree a little,Disagree a little,Once or twice a month,Agree a little,Agree a little,Some lessons,Disagree a little,Disagree a little,344.36737600000004,1
No,None or very few (0–10 books),Agree a little,Agree a lot,Never,Agree a little,Agree a lot,Some lessons,Agree a little,Agree a little,368.287828,1
Yes,Enough to fill one shelf (11–25 books),Disagree a little,Disagree a lot,Never,Agree a lot,Disagree a little,Some lessons,Disagree a little,Agree a lot,380.415972,1
No,Enough to fill one shelf (11–25 books),Disagree a little,Disagree a little,Never,Agree a little,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,334.91371,1
No,None or very few (0–10 books),Agree a little,Agree a lot,A few times a year,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,382.215048,1
Yes,None or very few (0–10 books),Agree a little,Agree a little,At least once a week,Agree a little,Agree a lot,About half the lessons,Disagree a little,Agree a little,425.527968,2
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,322.47378,1
No,None or very few (0–10 books),Agree a lot,Agree a little,Never,Disagree a little,Agree a lot,Some lessons,Agree a lot,Agree a lot,346.579896,1
No,None or very few (0–10 books),Disagree a lot,Agree a lot,A few times a year,Disagree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,341.04420600000003,1
No,Enough to fill one shelf (11–25 books),Agree a little,Agree a lot,Never,Agree a lot,Agree a lot,About half the lessons,Disagree a little,Agree a lot,382.946154,1
No,None or very few (0–10 books),Agree a little,Agree a little,At least once a week,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,358.924546,1
No,None or very few (0–10 books),Agree a little,Agree a lot,Never,Agree a little,Agree a lot,Never,Agree a lot,Agree a lot,440.2162119999999,2
No,None or very few (0–10 books),Disagree a little,Agree a little,A few times a year,Disagree a little,Agree a lot,Some lessons,Agree a little,Agree a lot,421.80111,2
No,None or very few (0–10 books),Agree a little,Agree a lot,Never,Disagree a little,Disagree a little,Some lessons,Disagree a lot,Agree a little,333.046332,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a little,Agree a lot,335.816532,1
Yes,None or very few (0–10 books),Disagree a little,Disagree a little,At least once a week,Disagree a lot,Agree a lot,Every or almost every lesson,Disagree a lot,Disagree a lot,304.441338,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,A few times a year,Agree a little,Agree a lot,Never,Agree a lot,Agree a lot,296.43743800000004,1
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a little,Once or twice a month,Agree a lot,Agree a little,About half the lessons,Agree a little,Agree a little,246.311016,1
Yes,Enough to fill one shelf (11–25 books),Disagree a lot,Agree a lot,At least once a week,Agree a little,Disagree a little,About half the lessons,Agree a lot,Agree a lot,297.01595,1
No,None or very few (0–10 books),Agree a little,Agree a little,Never,Agree a little,Agree a little,Some lessons,Agree a lot,Agree a lot,359.09219199999995,1
Yes,None or very few (0–10 books),Agree a little,Agree a little,Never,Disagree a little,Disagree a lot,Never,Disagree a little,Disagree a lot,354.365696,1
No,None or very few (0–10 books),Agree a lot,Disagree a little,Never,Disagree a little,Agree a little,Every or almost every lesson,Agree a little,Agree a lot,361.1922760000001,1
Yes,Enough to fill one shelf (11–25 books),Disagree a little,Agree a little,Never,Agree a lot,Agree a lot,Some lessons,Agree a little,Agree a lot,392.109816,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,397.488796,1
No,Enough to fill one bookcase (26–100 books),Agree a little,Agree a little,At least once a week,Disagree a little,Agree a lot,Some lessons,Disagree a lot,Agree a lot,341.330764,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a little,About half the lessons,Agree a lot,Agree a little,459.354604,2
No,None or very few (0–10 books),Disagree a little,Agree a little,Never,Agree a little,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,381.749072,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Once or twice a month,Agree a lot,Disagree a little,About half the lessons,Agree a little,Agree a little,327.271462,1
No,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,440.575282,2
No,Enough to fill one shelf (11–25 books),Agree a little,Disagree a little,Once or twice a month,Agree a little,Agree a little,About half the lessons,Disagree a lot,Disagree a lot,319.076942,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Once or twice a month,Disagree a little,Agree a little,Never,Agree a lot,Agree a lot,324.951642,1
